scope,page_number,metric,cluster_id,position_mean,position_min,position_max,position_range,x0_min,x1_max,token_count,page_count,sample_pages,sample_texts
sample_page,725,x_center,7,117.76660695652174,117.00344,117.80072000000001,0.7972800000000149,104.3,131.30144,46,1,725,KA11|RM|19697.55|19698.85|19700.15|19701.45|19702.75|19704.05
sample_page,725,x_center,8,150.16660695652175,149.40344,150.20072,0.7972800000000007,136.7,163.70144,46,1,725,KA12|RM|19654.25|19655.55|19656.85|19658.15|19659.45|19660.75
sample_page,725,x_center,9,182.56660695652175,181.80344000000002,182.60072,0.7972799999999722,169.1,196.10144,46,1,725,KA13|RM|19610.90|19612.20|19613.50|19614.80|19616.10|19617.40
sample_page,725,x_center,10,215.02798382978725,214.20344,217.85132,3.6478799999999865,201.5,228.50144,47,1,725,KA14|RM|19567.55|19568.85|19570.15|19571.45|19572.75|19574.05
sample_page,725,x_center,11,219.53822,219.53822,219.53822,0.0,212.66,226.41644,1,1,725,Jika
sample_page,725,x_center,12,247.37955234042556,246.60343999999998,247.97503999999998,1.3716000000000008,228.34928,267.6008,47,1,725,KA15|RM|19524.25|19525.55|19526.85|19528.15|19529.45|19530.75
sample_page,725,x_center,13,251.03174,251.03174,251.03174,0.0,230.25548,271.808,1,1,725,wife/husband
sample_page,725,x_center,14,259.52779999999996,259.22426,259.83133999999995,0.6070799999999394,244.82,274.24267999999995,2,1,725,Category|Kategori
sample_page,725,x_center,15,279.606076,276.29672,279.83072,3.533999999999992,266.33,293.33144,50,1,725,is|2|tidak|KA16|RM|19480.90|19482.20|19483.50
sample_page,725,x_center,16,285.74852,285.74852,285.74852,0.0,280.81376,290.68327999999997,1,1,725,not
sample_page,725,x_center,17,300.33518000000004,300.33518000000004,300.33518000000004,0.0,287.93456000000003,312.73580000000004,1,1,725,bekerja
sample_page,725,x_center,18,304.70168,304.70168,304.70168,0.0,292.5524,316.85096000000004,1,1,725,working
sample_page,725,x_center,19,312.19660695652175,311.43344,312.23072,0.7972800000000007,298.73,325.73144,46,1,725,KA17|RM|19437.55|19438.85|19440.15|19441.45|19442.75|19444.05
sample_page,725,x_center,20,344.5966069565217,343.83344,344.63072,0.7972800000000007,331.13,358.13144,46,1,725,KA18|RM|19394.25|19395.55|19396.85|19398.15|19399.45|19400.75
sample_page,725,x_center,21,376.9966069565217,376.23344000000003,377.03072,0.7972799999999438,363.53,390.53144,46,1,725,KA19|RM|19350.90|19352.20|19353.50|19354.80|19356.10|19357.40
sample_page,725,x_center,22,386.65268000000003,386.65268000000003,386.65268000000003,0.0,381.77,391.53536,1,1,725,724
sample_page,725,x_center,23,393.95340000000004,391.97936,395.59832,3.6189600000000155,373.97,414.59504000000004,3,1,725,MONTHLY|POTONGAN|of
sample_page,725,x_center,24,404.531,404.531,404.531,0.0,399.64832,409.41368,1,1,725,732
sample_page,725,x_center,25,409.39660695652174,408.63344,409.43072,0.7972800000000007,395.93,422.93144,46,1,725,KA20|RM|19307.55|19308.85|19310.15|19311.45|19312.75|19314.05
sample_page,725,x_center,26,418.00544,418.00544,418.00544,0.0,411.14492,424.86596,1,1,725,TAX
sample_page,725,x_center,27,427.73198,427.73198,427.73198,0.0,416.55620000000005,438.90776,1,1,725,CUKAI
sample_page,725,x_center,28,441.81660695652175,441.05344,441.85072,0.7972800000000007,428.35,455.35144,46,1,725,KA11|RM|19784.25|19785.55|19786.85|19788.15|19789.45|19790.75
